executions,shape,example
471,"WITH cte AS (SELECT cph.providerid, cph.providername, cph.orderid, o.createdon AS ordercreatedate, MIN(date) AS firstactivedate, MAX(date) AS lastactivedate, ost.name AS currentorderstatus, osrt.name AS currentorderstatusreasontype, u2.firstname AS hcam, u.firstname AS csm FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransactiona ...","select * from ( WITH CTE AS ( SELECT cph.ProviderID ,cph.ProviderName ,cph.OrderID ,o.createdon AS OrderCreateDate ,MIN(Date) AS FirstActiveDate ,Max(date) AS LastActiveDate ,ost.name As CurrentOrderStatus ,osrt.name As CurrentOrderStatusReasonType ,u2.FirstName AS HCAM ,u.FirstName AS CSM FROM prod ..."
468,"SELECT hcrs.requestid, hmcr.hmcprospectid, hmcr.postalcode, dhcr.customeracquisitionkey, dca.source AS osource, CASE WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.affiliateid IN (?) THEN ? WHEN hmcr.url LIKE ? OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN hmcr.url LIKE ? THEN ? WHEN dca.source IN (?) OR hmcr.url LIKE ? OR hmcr.url LIKE ? THEN ? WHEN dca.source = ? THEN ? WHEN hmcr.affiliateid = ? THEN ? WHEN hmcr.url IS NULL AND dca.source = ? THEN ? ELSE ? END AS adjchannel, hmcr.url, hmcr.a ...","select * from ( SELECT hcrs.RequestID ,hmcr.HMCProspectID ,hmcr.postalcode ,dhcr.CustomerAcquisitionKey ,dca.Source as oSource ,CASE WHEN hmcr.affiliateID IN (98,100,101,102,103,104,105,109,110) THEN 'SEM' WHEN hmcr.affiliateID = 87 THEN 'SEO' WHEN hmcr.affiliateID = 92 THEN 'SEO' WHEN hmcr.affiliat ..."
468,"SELECT dateid, date, dayofyear, dayofmonth, dayofweek, weekdayname, month, monthname, year, quarter, monthyearid, weekstartdate, weekenddate FROM prod_homecare_acreporting_reporting.dimdate WHERE date >= DATE_ADD(MONTH, -?, CURRENT_TIMESTAMP())","select * from ( SELECT DateID ,Date ,DayOfYear ,DayOfMonth ,DayOfWeek ,WeekDayName ,Month ,MonthName ,Year ,Quarter ,MonthYearID ,WeekStartDate ,WeekEndDate FROM prod_homecare_acreporting_reporting.dimdate Where date >= DATEADD(Month,-3,GETDATE()) ) as `_` limit 0"
467,"WITH cte AS (SELECT DISTINCT ci.name, COUNT(DISTINCT (code)) AS zip_count FROM prod_homecare_actransactional_geo.postalcode_01072025 AS pcv JOIN prod_homecare_actransactional_organization.providerservicecoverage AS psc ON psc.postalcodeid = pcv.postalcodeid JOIN prod_homecare_actransactional_geo.city AS ci ON ci.cityid = pcv.cityid WHERE pcv.countryid = ? AND psc.deleted = ? GROUP BY ci.name ORDER BY ci.name) SELECT DISTINCT pro.name, psc.providerid, ci.name AS city, sp.name AS state, COUNT(code) AS zip_count_provider, zip_count AS zip_count_total FROM prod_homecare_actransactional_geo.postalc ...","select `name`, `ProviderID`, `City`, `State`, `Zip_Count_Provider`, `Zip_Count_Total` from ( WITH CTE AS( SELECT DISTINCT ci.Name ,COUNT(DISTINCT(Code)) as Zip_Count FROM prod_homecare_actransactional_geo.postalcode_01072025 pcv JOIN prod_homecare_actransactional_organization.providerservicecoverage ..."
467,"SELECT DISTINCT r.hmcrequestid, r.hmcprospectid, l.hmcleadid, ref.providerid, r.postalcode FROM prod_homecare_insite_directory.hmcrequest AS r JOIN prod_homecare_insite_directory.hmclead AS l ON l.hmcrequestid = r.hmcrequestid LEFT JOIN prod_homecare_actransactional_homecare.referral AS ref ON ref.hmcleadid = l.hmcleadid WHERE r.createdate > ADD_MONTHS(CURRENT_TIMESTAMP(), -?)","select `HMCRequestID`, `HMCProspectID`, `hmcLeadID`, `providerid`, `postalcode` from ( SELECT DISTINCT r.HMCRequestID ,r.HMCProspectID ,l.hmcLeadID ,ref.providerid ,r.postalcode FROM prod_homecare_insite_directory.hmcrequest r JOIN prod_homecare_insite_directory.hmclead l on l.hmcrequestid = r.hmcre ..."
467,"SELECT r.referralid, r.leadid, l.hmcprospectid, hmcr.hmcrequestid, l.externalidentifier AS ygl_lead_id, r.providerid, r.billingtypeid, referralstatustypeid, referredon, CASE WHEN NOT hmcl.hottransferred IS NULL THEN ? ELSE ? END AS ht, CASE WHEN r.istopoff = ? THEN ? ELSE ? END AS topoffqueue, CAST(r.createdon AS DATE) AS createdon, returnapproved, r.hmcleadid, orderid, CASE WHEN p.ispace = ? THEN ? ELSE ? END AS pacereferral, hcc.ishottransfer, hcc.amount, CASE WHEN r.billingtypeid = ? THEN ? WHEN hcc.accountid = ? AND log.deliverystatustypeid IN (?) AND hcc.createdon >= ? AND hcc.ishottransf ...","select * from ( SELECT r.ReferralID ,r.LeadID ,l.HMCProspectID ,hmcr.HMCRequestID ,l.ExternalIdentifier as YGL_Lead_ID ,r.ProviderID ,r.BillingTypeID ,ReferralStatusTypeID ,ReferredOn ,CASE WHEN hmcl.HotTransferred IS NOT NULL THEN 1 ELSE 0 END as HT ,CASE WHEN r.IsTopOff = 1 THEN 1 ELSE 0 END AS To ..."
466,"SELECT pcv.code, ci.name AS city, sp.name AS state, CONCAT(ci.name, ?, sp.name) AS location, ROUND(AVG(latitude), ?) AS latitude, ROUND(AVG(longitude), ?) AS longitude FROM prod_homecare_actransactional_geo.postalcode_01072025 AS pcv JOIN prod_homecare_actransactional_geo.city AS ci ON ci.cityid = pcv.cityid JOIN prod_homecare_actransactional_geo.stateprovince AS sp ON sp.stateprovinceid = ci.stateprovinceid GROUP BY pcv.code, ci.name, sp.name, ci.name + ? + sp.name","select * from ( select pcv.code , ci.name City , sp.name State , concat(ci.name,', ',sp.name) Location , ROUND(AVG(Latitude),2) AS Latitude , ROUND(AVG(Longitude),2) AS Longitude from prod_homecare_actransactional_geo.postalcode_01072025 pcv JOIN prod_homecare_actransactional_geo.city ci on ci.CityI ..."
466,"WITH cte AS (SELECT COUNT(DISTINCT (hmcr.hmcrequestid)) AS leads, hmcr.postalcode, CAST(hmcr.createdate AS DATE) AS createdate, SUM(DISTINCT (ppc.providercount)) AS provider_count, sp.name AS state FROM prod_homecare_acreporting_reporting.facthomecarerequestsummary AS hcrs LEFT JOIN prod_homecare_acreporting_reporting.dimhomecarerequest AS dhcr ON hcrs.requestid = dhcr.requestid LEFT JOIN prod_homecare_insite_directory.hmcrequest AS hmcr ON hmcr.hmcrequestid = hcrs.requestid LEFT JOIN prod_homecare_acreporting_reporting.dimcustomeracquisition AS dca ON dca.customeracquisitionkey = dhcr.custome ...","select `Leads`, `postalcode`, `createdate`, `Provider_Count`, `State`, `Provider_Value`, `Base_Value` from ( WITH CTE AS ( SELECT count(distinct(hmcr.hmcrequestid)) Leads ,hmcr.postalcode ,CASt(hmcr.createdate as DATE) as createdate ,sum(distinct(ppc.providercount))as Provider_Count ,sp.name State F ..."
466,"WITH cte AS (SELECT providerhistoryid, date, cph.providerid, o.orderid, cph.accountid, a.accountstatusreasontypeid, providername, ordername, accountname, cph.contracttype, orderstatus, orderstatusreason, cph.monthlycap, cph.monthlysent, o.createdon AS ordercreatedate, ccfail, u2.firstname AS hcam, u.firstname AS csm, ROW_NUMBER() OVER (PARTITION BY cph.providerid ORDER BY cph.date) AS rn, ROW_NUMBER() OVER (PARTITION BY cph.providerid ORDER BY cph.date DESC) AS dayssuspended FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_billing.acco ...","select * from ( WITH CTE4 AS ( WITH CTE3 AS ( WITH CTE2 AS( WITH CTE1 AS ( WITH CTE AS ( SELECT ProviderHistoryID ,Date ,cph.ProviderID ,o.OrderID ,cph.AccountID ,a.AccountStatusReasonTypeID ,ProviderName ,OrderName ,AccountName ,cph.ContractType ,OrderStatus ,OrderStatusReason ,cph.MonthlyCap ,cph. ..."
466,"WITH cte AS (SELECT DISTINCT r.referralid, leadid, providerid, billingtypeid, referralstatustypeid, referredon, activatedon, advisoractivatedon, startedcareon, advisorstartedcareon, endedcareon, advisorendedcareon, externalidentifier, r.modifiedon, r.modifiedby, r.createdon, r.createdby, sysstarttime, sysendtime, advisorreferralstatustypeid, previousendedcareon, referralendcarereasontypeid, returnapproved, CONCAT(MONTH(referredon), ?, YEAR(referredon)) AS monthyear, hmcleadid, orderid, hmcleadidupdateby, referraldisplaystatustypeid, referralactivationsourceid, CASE WHEN r.orderid = ? THEN ? WH ...","select * from ( WITH CTE as (SELECT DISTINCT r.ReferralID ,LeadID ,ProviderID ,BillingTypeID ,ReferralStatusTypeID ,ReferredOn ,ActivatedOn ,AdvisorActivatedOn ,StartedCareOn ,AdvisorStartedCareOn ,EndedCareOn ,AdvisorEndedCareOn ,ExternalIdentifier ,r.ModifiedOn ,r.ModifiedBy ,r.CreatedOn ,r.Create ..."
466,"SELECT * FROM (SELECT referralbillingid, referralid, providerid, amount, rate, billingperiodid, reportedon, invoicedon, modifiedon, modifiedby, createdon, createdby, sysstarttime, sysendtime FROM prod_homecare_actransactional_homecare.referralbilling WHERE invoicedon >= ? OR invoicedon IS NULL) AS _ WHERE ? = ?","select * from ( SELECT ReferralBillingID ,ReferralID ,ProviderID ,Amount ,Rate ,BillingPeriodID ,ReportedOn ,InvoicedOn ,ModifiedOn ,ModifiedBy ,CreatedOn ,CreatedBy ,SysStartTime ,SysEndTime FROM prod_homecare_actransactional_homecare.referralbilling WHERE InvoicedOn >= '2023-06-01' OR InvoicedOn I ..."
465,"WITH cte AS (SELECT cph.providerid, cph.providername, cph.orderid, o.createdon AS ordercreatedate, MIN(date) AS firstactivedate, MAX(date) AS lastactivedate, ost.name AS currentorderstatus, osrt.name AS currentorderstatusreasontype, u2.firstname AS hcam, u.firstname AS csm FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_ordermanagement.order AS o ON o.orderid = cph.orderid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransactiona ...","select `ProviderID`, `ProviderName`, `OrderID`, `OrderCreateDate`, `FirstActiveDate`, `LastActiveDate`, `CurrentOrderStatus`, `CurrentOrderStatusReasonType`, `HCAM`, `CSM` from ( WITH CTE AS ( SELECT cph.ProviderID ,cph.ProviderName ,cph.OrderID ,o.createdon AS OrderCreateDate ,MIN(Date) AS FirstAct ..."
465,"SELECT * FROM (SELECT hottransferresultid, htr.providerid, lid.leadid, hottransferresponseid, DATE_ADD(HOUR, -?, hottransferredon) AS hottransferredon, htr.createdon, htr.createdby, htr.modifiedon, htr.modifiedby, deleted, CONCAT(l.contactfirstname, ?, l.contactlastname) AS contactname, CONCAT(l.firstname, ?, l.lastname) AS residentname, l.contactphone, l.contactemail FROM prod_homecare_actransactional_homecare.hottransferresult AS htr LEFT JOIN prod_homecare_actransactional_homecare.lead AS l ON l.leadid = htr.leadid LEFT JOIN prod_homecare_actransactional_homecare.referral AS r ON htr.provid ...","select * from ( SELECT HotTransferResultID ,htr.ProviderID ,lid.LeadID ,HotTransferResponseID ,DATEADD(hour,-5,HotTransferredOn) AS HotTransferredOn ,htr.CreatedOn ,htr.CreatedBy ,htr.ModifiedOn ,htr.ModifiedBy ,Deleted ,CONCAT(l.ContactFirstName, ' ',l.ContactLastName) AS ContactName ,CONCAT(l.Firs ..."
465,"SELECT * FROM (SELECT r.referralid, r.leadid, l.hmcprospectid, hmcr.hmcrequestid, l.externalidentifier AS ygl_lead_id, r.providerid, r.billingtypeid, referralstatustypeid, referredon, r.orderid, log.deliverystatustypeid, dst.name AS deliverystatus FROM prod_homecare_actransactional_homecare.referral AS r LEFT JOIN prod_homecare_actransactional_homecare.lead AS l ON r.leadid = l.leadid LEFT JOIN prod_homecare_actransactional_organization.provider AS p ON p.providerid = r.providerid LEFT JOIN prod_homecare_insite_directory.hmclead AS hmcl ON hmcl.hmcleadid = r.hmcleadid LEFT JOIN prod_homecare_i ...","select * from ( Select r.ReferralID ,r.LeadID ,l.HMCProspectID ,hmcr.HMCRequestID ,l.ExternalIdentifier as YGL_Lead_ID ,r.ProviderID ,r.BillingTypeID ,ReferralStatusTypeID ,ReferredOn ,r.orderid ,log.DeliveryStatusTypeID ,dst.Name DeliveryStatus FROM prod_homecare_actransactional_homecare.referral r ..."
459,"WITH cte AS (SELECT providerhistoryid, date, cph.providerid, o.orderid, cph.accountid, a.accountstatusreasontypeid, providername, ordername, accountname, cph.contracttype, orderstatus, orderstatusreason, cph.monthlycap, cph.monthlysent, o.createdon AS ordercreatedate, ccfail, u2.firstname AS hcam, u.firstname AS csm, ROW_NUMBER() OVER (PARTITION BY cph.providerid ORDER BY cph.date) AS rn, ROW_NUMBER() OVER (PARTITION BY cph.providerid ORDER BY cph.date DESC) AS dayssuspended FROM prod_homecare_acreporting_reporting.cartproviderhistory AS cph LEFT JOIN prod_homecare_actransactional_billing.acco ...","select `ProviderHistoryID`, `Date`, `ProviderID`, `OrderID`, `AccountID`, `AccountStatusReasonTypeID`, `ProviderName`, `OrderName`, `AccountName`, `ContractType`, `OrderStatus`, `OrderStatusReason`, `MonthlyCap`, `MonthlySent`, `OrderCreateDate`, `CCFail`, `HCAM`, `CSM`, `rn`, `DaysSuspended`, `LagD ..."
445,SELECT * FROM prod_homecare_actransactional_billing.account,"select `accountid`, `corporateaccountid`, `accountstatusreasonnote`, `address`, `modifiedon`, `postalcode`, `modifiedby`, `name`, `paymentsourceid`, `iscorporateaccount`, `sysstarttime`, `sfrecordid`, `createdon`, `dmcardconnectsourceid`, `dmaccountid`, `hideinportal`, `sysendtime`, `billingcycle`,  ..."
441,"WITH cte AS (SELECT dateid, date, CASE WHEN dayofweek = ? THEN date WHEN dayofweek > ? THEN DATE_ADD(DAY, ? - dayofweek, date) ELSE DATE_ADD(DAY, -?, date) END AS weekstart, dayofyear, dayofmonth, dayofweek, weekdayname, month, monthname, year, YEAR(CURRENT_TIMESTAMP()) AS modyear, CONCAT(monthname, ?, YEAR(CURRENT_TIMESTAMP())) AS modmonthyear, CONCAT(monthname, ?, year) AS monthyear, monthyearid FROM prod_homecare_acreporting_reporting.dimdate WHERE dateid BETWEEN CAST(YEAR(DATE_ADD(YEAR, -?, CURRENT_TIMESTAMP())) * ? AS DECIMAL) AND CAST(YEAR(DATE_ADD(YEAR, ?, CURRENT_TIMESTAMP())) * ? AS D ...","select * from ( WITH CTE AS ( SELECT DateID ,Date ,CASE WHEN DayOfWeek = 2 THEN Date WHEN DayOfWeek > 2 THEN DATEADD(day, 2- DayOfWeek,Date) ELSE DATEADD(day, -6,Date) END as WeekStart ,DayOfYear ,DayOfMonth ,DayOfWeek ,WeekDayName ,Month ,MonthName ,Year ,Year(Getdate()) as ModYear ,CONCAT(MonthNam ..."
441,"WITH cte AS (SELECT date, orderid, AVG(monthlycap) AS ordermonthlymax, AVG(monthlysent) AS leadssent FROM prod_homecare_acreporting_reporting.cartproviderhistory WHERE contracttype = ? AND orderstatus IN (?) AND orderstatusreason <> ? AND (ccfail = ? OR ccfail IS NULL) AND orderid <> ? GROUP BY orderid, date ORDER BY date, orderid) SELECT date, orderid, CASE WHEN orderid = ? THEN ? WHEN ordermonthlymax IS NULL THEN ? ELSE ordermonthlymax END AS ordermonthlymax, leadssent FROM cte ORDER BY date, orderid","select * from ( WITH CTE AS ( SELECT Date,OrderID,AVG(MonthlyCap) AS OrderMonthlyMax,AVG(MonthlySent) AS LeadsSent FROM prod_homecare_acreporting_reporting.cartproviderhistory WHERE ContractType = 'CPL' AND OrderStatus IN ('Suspended') AND OrderStatusReason <> 'Monthly Cap Reached' AND (CCFail = 0 O ..."
441,"SELECT DISTINCT o.accountid, a.name AS accountname FROM prod_homecare_actransactional_ordermanagement.order AS o LEFT JOIN prod_homecare_actransactional_billing.account AS a ON a.accountid = o.accountid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype AS ost ON ost.orderstatustypeid = o.orderstatustypeid LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatusreasontype AS osrt ON osrt.orderstatusreasontypeid = o.orderstatusreasontypeid WHERE (NOT osrt.name IN (?) OR osrt.name IS NULL) AND servicetypeid = ? AND billingtypeid = ? AND NOT ost.name IN (?)","select * from ( SELECT DISTINCT o.AccountID,a.Name AS AccountName FROM prod_homecare_actransactional_ordermanagement.order o LEFT JOIN prod_homecare_actransactional_billing.account a ON a.AccountID = o.AccountID LEFT JOIN prod_homecare_actransactional_ordermanagement.orderstatustype ost ON ost.Order ..."
440,SELECT * FROM prod_homecare_insite_dbo.orderstatusreference,select * from ( Select * FROM prod_homecare_insite_dbo.orderstatusreference ) as `_` limit 0
440,"WITH cte AS (SELECT r.referralid, r.leadid, l.hmcprospectid, l.externalidentifier AS ygl_lead_id, billingtypeid, referralstatustypeid, referredon, CASE WHEN NOT hmcl.hottransferred IS NULL THEN ? ELSE ? END AS ht, r.createdon, returnapproved, r.hmcleadid, orderid, hcc.amount, CASE WHEN r.orderid = ? THEN ? WHEN r.billingtypeid = ? THEN ? ELSE hcc.amount END AS referralrevenue, CASE WHEN (r.hmcleadid IS NULL AND billingtypeid = ?) THEN ? WHEN dca.source = ? THEN ? ELSE ? END AS apfm FROM prod_homecare_actransactional_homecare.referral AS r LEFT JOIN prod_homecare_actransactional_homecare.lead A ...","select `ReferralID`, `LeadID`, `HMCProspectID`, `YGL_Lead_ID`, `BillingTypeID`, `ReferralStatusTypeID`, `ReferredOn`, `HT`, `CreatedOn`, `ReturnApproved`, `HMCLeadID`, `OrderID`, `Amount`, `ReferralRevenue`, `APFM`, `BusinessUnit`, `C1`, `C2`, `C1` as `C3` from ( select `ReferralID`, `LeadID`, `HMCP ..."
440,SELECT * FROM prod_homecare_actransactional_billing.accountstatusreasontype,"select `accountstatusreasontypeid`, `createdby`, `createdon`, `name`, `_fivetran_deleted`, `_fivetran_synced` from ( Select * FROM prod_homecare_actransactional_billing.accountstatusreasontype ) as `_`"
440,"SELECT applicantid, createdon FROM prod_homecare_actransactional_recruitment.applicant","select `ApplicantID`, `CreatedOn`, cast({ fn round(`C1`, 0) } as BIGINT) as `C2` from ( select `ApplicantID`, `CreatedOn`, (cast({ fn year(`CreatedOn`) } as DOUBLE) * 1.000000000000000E+004 + cast({ fn month(`CreatedOn`) } as DOUBLE) * 1.000000000000000E+002) + cast({ fn dayofmonth(`CreatedOn`) } as ..."
440,"SELECT referralbillingid, referralid, providerid, amount, rate, amount * rate / ? AS revshare, rb.billingperiodid, reportedon, CASE WHEN DAY(reportedon) >= ? THEN DATE_ADD(LAST_DAY(ADD_MONTHS(reportedon, ?)), ?) ELSE reportedon END AS reportedonmod, rb.invoicedon, rb.createdon, rb.createdby, bp.billingperiodid AS actbillingperiodid FROM prod_homecare_actransactional_homecare.referralbilling AS rb LEFT JOIN prod_homecare_actransactional_homecare.billingperiod AS bp ON (rb.invoicedon IS NULL AND bp.billingperiodstatustypeid = ?) OR (rb.invoicedon = bp.invoicedon) ORDER BY reportedon ASC","select `ReferralBillingID`, `ReferralID`, `ProviderID`, `Amount`, `Rate`, `RevShare`, `BillingPeriodID`, `ReportedOn`, `ReportedOnMod`, `InvoicedOn`, `CreatedOn`, `CreatedBy`, `ActBillingPeriodID`, (cast({ fn year(`ReportedOnMod`) } as DOUBLE) * 1.000000000000000E+004 + cast({ fn month(`ReportedOnMo ..."
440,"WITH cte AS (SELECT date, accountid, AVG(accountmonthlymax) AS accountmonthlymax, AVG(leadssent) AS leadssent FROM prod_homecare_acreporting_reporting.factproviderhistory WHERE contracttype = ? AND NOT orderstatus IN (?) GROUP BY accountid, date ORDER BY date, accountid) SELECT date, accountid, CASE WHEN accountmonthlymax IS NULL THEN ? ELSE accountmonthlymax END AS accountmonthlymax, leadssent FROM cte ORDER BY accountid, date","select * from ( WITH CTE AS ( SELECT Date,AccountID,AVG(AccountMonthlyMax) AS AccountMonthlyMax,AVG(LeadsSent) AS LeadsSent FROM prod_homecare_acreporting_reporting.factproviderhistory WHERE ContractType = 'CPL' AND OrderStatus not in ('Suspended' ,'Onboarding') GROUP BY AccountID,Date ORDER BY Date ..."
439,"SELECT r.referralid, r.leadid, l.hmcprospectid, hmcr.hmcrequestid, l.externalidentifier AS ygl_lead_id, providerid, billingtypeid, referralstatustypeid, referredon, YEAR(referredon) * ? + MONTH(referredon) * ? + DAY(referredon) AS referredondateid, activatedon, startedcareon, endedcareon, r.createdon, returnapproved, r.hmcleadid, orderid, hcc.entryid, hcc.amount AS cpr_revenue, CASE WHEN r.orderid = ? THEN ? ELSE hcc.amount END AS cpl_revenue, COUNT(*) OVER (PARTITION BY r.referralid ORDER BY r.hmcleadid DESC) AS ct FROM prod_homecare_actransactional_homecare.referral AS r LEFT JOIN prod_homec ...","select `ReferralID`, `LeadID`, `HMCProspectID`, `HMCRequestID`, `YGL_Lead_ID`, `ProviderID`, `BillingTypeID`, `ReferralStatusTypeID`, `ReferredOn`, `ReferredOnDateID`, `ActivatedOn`, `StartedCareOn`, `EndedCareOn`, `CreatedOn`, `ReturnApproved`, `HMCLeadID`, `OrderID`, `EntryID`, `CPR_Revenue`, `CPL ..."
439,"WITH cte AS (SELECT date, orderid, AVG(monthlycap) AS ordermonthlymax, AVG(monthlysent) AS leadssent FROM prod_homecare_acreporting_reporting.cartproviderhistory WHERE contracttype = ? AND (ccfail = ? OR ccfail IS NULL) AND orderid <> ? AND orderstatus <> ? GROUP BY orderid, date ORDER BY date, orderid) SELECT date, orderid, CASE WHEN orderid = ? THEN ? WHEN ordermonthlymax IS NULL THEN ? ELSE ordermonthlymax END AS ordermonthlymax, leadssent FROM cte ORDER BY date, orderid","select * from ( WITH CTE AS ( SELECT Date,OrderID,AVG(MonthlyCap) AS OrderMonthlyMax,AVG(MonthlySent) AS LeadsSent FROM prod_homecare_acreporting_reporting.cartproviderhistory WHERE ContractType = 'CPL' AND (CCFail = 0 OR CCFail IS NULL) AND OrderID <> 12705 and orderstatus <> 'Onboarding' GROUP BY  ..."
439,"WITH cte AS (SELECT date, orderid, AVG(monthlycap) AS ordermonthlymax, AVG(monthlysent) AS leadssent FROM prod_homecare_acreporting_reporting.cartproviderhistory WHERE contracttype = ? AND (NOT orderstatus IN (?) OR orderstatusreason = ?) GROUP BY orderid, date ORDER BY date, orderid) SELECT date, orderid, CASE WHEN orderid = ? THEN ? WHEN ordermonthlymax IS NULL THEN ? ELSE ordermonthlymax END AS ordermonthlymax, leadssent FROM cte ORDER BY date, orderid","select `Date`, `OrderID`, `OrderMonthlyMax`, `LeadsSent` from ( WITH CTE AS ( SELECT Date,OrderID,AVG(MonthlyCap) AS OrderMonthlyMax,AVG(MonthlySent) AS LeadsSent FROM prod_homecare_acreporting_reporting.cartproviderhistory WHERE ContractType = 'CPL' AND (OrderStatus NOT IN ('Suspended','Paused', 'O ..."
439,"WITH cart AS (SELECT referralid, r.leadid, l.advisor, l.contactemail, l.contactphone, providerid, billingtypeid, referredon FROM prod_homecare_actransactional_homecare.referral AS r LEFT JOIN prod_homecare_actransactional_homecare.lead AS l ON r.leadid = l.leadid WHERE referredon > ?), ac AS (SELECT hmcleadid, hcrt.requestid, dhcl.contactemail, dhcl.contactphone, leadsentdateid, TO_DATE(CAST(leadsentdateid AS STRING), ?) AS leadsentdate, hcrt.accountid, hottransferred, screeningresultid, dp.companyid, ci.providerid FROM prod_homecare_acreporting_reporting.facthomecarereferraltransaction AS hcr ...","select * from ( WITH CART AS ( SELECT ReferralID ,r.LeadID ,l.Advisor ,l.ContactEmail ,l.ContactPhone ,ProviderID ,BillingTypeID ,ReferredOn FROM prod_homecare_actransactional_homecare.referral r LEFT JOIN prod_homecare_actransactional_homecare.lead l on r.LeadID = l.LeadID WHERE ReferredOn > '2019' ..."
438,SELECT * FROM prod_homecare_actransactional_ordermanagement.order,"select `orderid`, `htmonthlysent`, `orderstatusreasonnote`, `minimumfee`, `costperlead`, `modifiedon`, `highpriority`, `autorenew`, `pausedon`, `isprefundedpackage`, `prepaidtotal`, `htmonthlycap`, `modifiedby`, `dmorderid`, `costperhtlead`, `name`, `monthlysent`, `postalmatch`, `sysstarttime`, `tot ..."
438,SELECT * FROM prod_homecare_actransactional_billing.homecarecharge,select * from ( Select * FROM prod_homecare_actransactional_billing.homecarecharge ) as `_` limit 0
438,"SELECT DISTINCT hcrs.requestid, dhcr.requestdateid, hcrs.requestdatetime, dhcr.customeracquisitionkey, lastcareadvisorinternaluserkey, lastoutcometypeid, screeningcompletedateid, screeningcompletedatetime, screeningattemptcount, providersinareastart, providersinareaend, dhcr.requeststatusid, hmcl.hottransferred FROM prod_homecare_acreporting_reporting.facthomecarerequestsummary AS hcrs JOIN prod_homecare_acreporting_reporting.dimhomecarerequest AS dhcr ON hcrs.requestid = dhcr.requestid LEFT JOIN (SELECT hmcrequestid, hottransferred, ROW_NUMBER() OVER (PARTITION BY hmcrequestid ORDER BY hottra ...","select * from ( SELECT DISTINCT hcrs.RequestID ,dhcr.RequestDateID ,hcrs.RequestDateTime ,dhcr.CustomerAcquisitionKey ,LastCareAdvisorInternalUserKey ,LastOutcomeTypeID ,ScreeningCompleteDateID ,ScreeningCompleteDateTime ,ScreeningAttemptCount ,ProvidersInAreaStart ,ProvidersInAreaEnd ,dhcr.RequestS ..."
438,"WITH cte AS (SELECT date, accountid, AVG(accountmonthlymax) AS accountmonthlymax, AVG(leadssent) AS leadssent FROM prod_homecare_acreporting_reporting.factproviderhistory WHERE contracttype = ? GROUP BY accountid, date ORDER BY date, accountid) SELECT date, accountid, CASE WHEN accountmonthlymax IS NULL THEN ? ELSE accountmonthlymax END AS accountmonthlymax, leadssent FROM cte ORDER BY accountid, date","select * from ( WITH CTE AS ( SELECT Date,AccountID,AVG(AccountMonthlyMax) AS AccountMonthlyMax,AVG(LeadsSent) AS LeadsSent FROM prod_homecare_acreporting_reporting.factproviderhistory WHERE ContractType = 'CPL' GROUP BY AccountID,Date ORDER BY Date,AccountID ) SELECT Date, AccountID, CASE WHEN Acco ..."
438,"WITH cte AS (SELECT DISTINCT hcc.*, log.deliverystatustypeid, CASE WHEN accountid = ? AND log.deliverystatustypeid IN (?) AND hcc.createdon >= ? AND ishottransfer = ? THEN -? WHEN accountid = ? AND amount < ? AND hcc.createdon >= ? AND ishottransfer = ? THEN -? WHEN accountid = ? AND amount > ? AND hcc.createdon >= ? AND ishottransfer = ? THEN ? WHEN accountid = ? AND amount < ? AND ishottransfer = ? THEN -? WHEN accountid = ? AND amount > ? AND ishottransfer = ? THEN ? WHEN accountid = ? AND ishottransfer = ? THEN ? ELSE amount END AS amountadj FROM prod_homecare_actransactional_billing.homec ...","select * from ( WITH CTE AS ( SELECT DISTINCT hcc.*,log.DeliveryStatusTypeID ,CASE WHEN AccountID = 2426 AND log.DeliveryStatusTypeID IN (2,3) AND hcc.CreatedOn >= '2024-01-01' AND IsHotTransfer = 0 THEN -42 WHEN AccountID = 2426 AND Amount <0 AND hcc.CreatedOn >= '2024-01-01' AND IsHotTransfer = 0  ..."
438,SELECT * FROM prod_homecare_acreporting_reporting.factproviderhistory WHERE date <= ?,"select `providerhistoryid`, `providerid`, `companyname`, `orderstatus`, `accountid`, `companyid`, `accountmonthlymax`, `recruitmentorder`, `contracttype`, `leadssent`, `orderstatusid`, `date`, `_fivetran_deleted`, `_fivetran_synced` from ( SELECT * FROM prod_homecare_acreporting_reporting.factprovid ..."
